Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60121411,A Merry Little Meet Cute,Julie   Murphy,"Murphy, Julie",Sierra Simone,"=""0063222574""","=""9780063222571""",0,3.39,Avon,Hardcover,418,2022,2022,,2022/11/27,to-read,to-read (#76),to-read,,,,0,0
43189874,"Well Met (Well Met, #1)",Jen DeLuca,"DeLuca, Jen",,"=""""","=""""",0,3.84,Berkley,Kindle Edition,335,2019,2019,,2022/11/14,to-read,to-read (#75),to-read,,,,0,0
27213238,The Hating Game,Sally  Thorne,"Thorne, Sally",,"=""""","=""""",0,3.91,William Morrow Paperbacks,Paperback,365,2016,2016,,2022/11/14,to-read,to-read (#74),to-read,,,,0,0
52602989,"Blindsided (Harris Brothers World, #2)",Amy Daws,"Daws, Amy",,"=""1944565299""","=""9781944565299""",0,4.08,"Amy Daws, LLC",Kindle Edition,322,2019,2019,,2022/11/14,to-read,to-read (#73),to-read,,,,0,0
17167166,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619630621""","=""9781619630628""",0,4.35,Bloomsbury USA Childrens,Hardcover,420,2013,2013,,2022/04/02,currently-reading,currently-reading (#2),currently-reading,,,,1,0
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",4,4.19,Bloomsbury USA Children's,Hardcover,406,2012,2012,2022/10/19,2021/12/20,,,read,,,,1,0
42201431,"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,"Lauren, Christina",,"=""""","=""""",5,3.93,Gallery Books,Paperback,432,2019,2019,2022/10/04,2022/10/04,,,read,,,,1,0
53369734,Weather Girl,Rachel Lynn Solomon,"Solomon, Rachel Lynn",,"=""0593200144""","=""9780593200148""",5,3.64,Berkley,Paperback,336,2022,2022,2022/09/30,2022/07/14,,,read,,,,1,0
39854434,"Fix Her Up (Hot & Hammered, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0062872842""","=""9780062872845""",4,3.62,Avon,ebook,400,2019,2019,2022/09/17,2022/09/03,,,read,"This was an incredibly spicy book! I enjoyed it and read it super fast. I'm unsure if I liked it as muched as It Happened One Summer or Hook, Line, and Sinker but still a good book. Would still recommend!",,,1,0
45754807,The Jetsetters,Amanda Eyre Ward,"Ward, Amanda Eyre",,"=""039918189X""","=""9780399181894""",0,3.09,Ballantine Books,Hardcover,352,2020,2020,,2022/09/06,to-read,to-read (#71),to-read,,,,0,0
58950955,The Godparent Trap,Rachel Van Dyken,"Dyken, Rachel Van",,"=""1538720531""","=""9781538720530""",5,3.75,Forever,Paperback,333,2022,2022,2022/09/04,2022/09/04,,,read,,,,1,0
41945163,"The Friend Zone (The Friend Zone, #1)",Abby Jimenez,"Jimenez, Abby",,"=""""","=""9781538715628""",4,3.89,Forever (Grand Central Publishing),ebook,372,2019,2019,2022/09/02,2022/07/14,,,read,,,,1,0
59571699,Love on the Brain,Ali Hazelwood,"Hazelwood, Ali",,"=""1408725789""","=""""",5,3.93,Sphere,Kindle Edition,368,2022,2022,2022/08/23,2021/12/28,,,read,This book was so worth the wait! Devoured it in a day! Ali Hazelwood had officially claimed her spot next to Emily Henry and Helen Hoang as long ne of my favorite romance/rom com authors! Highly recommend!!!,,,1,0
61918479,"Yours Truly (Part of Your World, #2)",Abby Jimenez,"Jimenez, Abby","Kyla Garcia, Zachary Weber","=""1549135139""","=""9781549135132""",0,4.34,Forever,Audiobook,11,2023,2023,,2022/08/22,to-read,to-read (#70),to-read,,,,0,0
58684524,"Part of Your World (Part of Your World, #1)",Abby Jimenez,"Jimenez, Abby",,"=""1538704374""","=""9781538704370""",5,4.32,Forever,Paperback,400,2022,2022,2022/08/21,2022/07/14,,,read,I could not put this book down!!! I started it late last night and stayed up way too long reading. Finished in less than 24 hours. SO good! Highly recommend to any romance reader! You will not be disappointed!,,,1,0
58885776,The Dead Romantics,Ashley Poston,"Poston, Ashley",,"=""0593336488""","=""9780593336489""",5,3.96,Berkley ,Paperback,368,2022,2022,2022/08/19,2022/07/12,,,read,There aren't enough words and not enough stars to rate this book. I loved it so much and it was not what I was expecting at all! Definitely my favorite top three of the year next two two Emily Henry books. So. Freaking. Good!!!,,,1,0
59345243,"Chef's Kiss (Chef's Kiss, #1)",T.J.   Alexander,"Alexander, T.J.",,"=""1982189088""","=""9781982189082""",4,3.70,Emily Bestler Books,Paperback,308,2022,2022,2022/08/17,2022/08/12,,,read,,,,1,0
58323892,"Husband Material (London Calling, #2)",Alexis  Hall,"Hall, Alexis",,"=""1728250943""","=""""",0,3.57,Sourcebooks Casablanca,Kindle Edition,423,2022,2022,,2022/03/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
57693430,"A Brush with Love (A Brush with Love, #1)",Mazey Eddings,"Eddings, Mazey",,"=""1250805988""","=""9781250805980""",5,3.68,Griffin,Paperback,324,2022,2022,2022/07/29,2022/07/14,,,read,,,,1,0
